State/UT,Number of Oxygen Supported beds - Public Sector,Number of Intensive Care Unit (ICU) beds - Public Sector,Number of Ventilators - Public Sector
Andaman and Nicobar Islands,151,24,20
Andhra Pradesh,10917,2325,750
Arunachal Pradesh,328,67,24
Assam,1529,353,279
Bihar,6123,553,799
Chandigarh,885,113,46
Chhattisgarh,1310,476,376
Dadra & Nagar Haveli,200,46,46
Daman & Diu,139,21,11
Delhi,5977,2231,892
Goa,134,52,169
Gujarat,8124,1559,2143
Haryana,3181,451,271
Himachal Pradesh,912,75,116
Jammu and Kashmir,3251,377,641
Jharkhand,1927,332,243
Karnataka,8154,1998,1263
Kerala,1857,1130,618
Ladakh,139,41,45
Lakshadweep,21,14,10
Madhya Pradesh,7706,1872,587
Maharashtra,27319,5326,3767
Manipur,358,47,39
Meghalaya,307,71,80
Mizoram,306,44,70
Nagaland,142,54,28
Odisha,4184,383,203
Puducherry,247,70,63
Punjab,2854,369,119
Rajasthan,5776,1246,944
Sikkim,209,20,57
Tamil Nadu,20574,5861,2914
Telangana,6031,1589,1991
Tripura,506,113,39
Uttar Pradesh,13569,4598,2780
Uttarakhand,2615,543,570
West Bengal,9382,1564,606
Grand Total,157344,36008,23619
